;seg;badseg;meanamp_ROI;wordreps;word.y;Typefrequenz_absolut;Nachbarn_mittel_absolut;Typelaenge_Zeichen;baysur;prederr
206;206;;-10.8828;0.06896551724137931;Sperling;0.14122137404580154;0.17105263157894737;0.625;0.07211764572363412;
207;207;;-12.2322;0.06896551724137931;Elster;0.09378407851690294;0.3684210526315789;0.375;0.01045113085493527;
208;208;;-8.4845;0.034482758620689655;Pelikan;0.026172300981461286;0.15789473684210525;0.5;0.00565043674639908;
209;209;;-9.7472;0.034482758620689655;Schwalbe;0.08887677208287895;0.17105263157894737;0.625;0.003660231813353384;
210;210;;5.1483;0.06896551724137931;Specht;0.10359869138495092;0.13157894736842105;0.375;0.0025459562692769686;
211;211;;-9.2541;0.034482758620689655;Kuckuck;0.13685932388222466;0.07894736842105263;0.5;0.0018304710342386698;
212;212;;4.9559;0.06896551724137931;Tortenheber;0.0059978189749182115;0.0;1.0;0.17382288066189408;
213;213;;1.5527;0.13793103448275862;Gabel;0.7382769901853872;0.881578947368421;0.25;0.015009149437827725;
214;214;;-22.9851;0.10344827586206896;LÃ¶ffel;0.6853871319520175;0.09210526315789473;0.375;0.008358607441831124;
215;215;;-0.8967;0.1724137931034483;Topf;0.520174482006543;0.5789473684210527;0.125;0.06740683531170451;
216;216;;13.6838;0.13793103448275862;Teekanne;0.0321701199563795;0.05263157894736842;0.625;0.00633105698723704;
217;217;;-0.8995;0.10344827586206896;Schneebesen;0.016902944383860415;0.013157894736842105;1.0;0.003892490676671617;
218;218;;-2.595;0.10344827586206896;Kuchenform;0.003816793893129771;0.02631578947368421;0.875;0.002161330795106342;
219;219;;-0.4081;0.10344827586206896;Jackett;0.15267175572519084;0.13157894736842105;0.5;0.023403979388889825;
220;220;1.0;-135.9677;0.034482758620689655;Halstuch;0.06706652126499454;0.013157894736842105;0.625;0.0070345147831597545;
221;221;;40.2021;0.034482758620689655;Jeans;0.10905125408942203;0.42105263157894735;0.25;0.0041227111034166175;
222;222;;12.5313;0.10344827586206896;Kopftuch;0.14285714285714285;0.02631578947368421;0.625;0.0027686654705765716;
223;223;;0.8896;0.13793103448275862;Strumpf;0.13195201744820065;0.09210526315789473;0.5;0.001959864634788479;
224;224;;19.6639;0.10344827586206896;SchÃ¼rze;0.31624863685932386;0.19736842105263158;0.5;0.0014178642291204394;
225;225;;-1.9195;0.06896551724137931;Handschuh;0.17938931297709923;0.09210526315789473;0.75;0.001030791319910714;
226;226;;28.4455;0.06896551724137931;Rotkohl;0.03816793893129771;0.06578947368421052;0.5;0.04500429895378891;
227;227;;20.1113;0.06896551724137931;Tomate;0.10141766630316248;0.07894736842105263;0.375;0.011093913305324004;
228;228;;-0.8275;0.06896551724137931;Spargel;0.1559432933478735;0.25;0.5;0.00649266719202873;
229;229;;2.2665;0.10344827586206896;GrÃ¼nkohl;0.03544165757906216;0.02631578947368421;0.625;0.00783853107697939;
230;230;;6.5856;0.10344827586206896;Kohlrabi;0.07742639040348964;0.02631578947368421;0.625;0.004632150089345885;
231;231;;-1.4180000000000001;0.13793103448275862;Wirsing;0.025081788440567066;0.11842105263157894;0.5;0.0031680615916983776;
232;232;;-10.2916;0.06896551724137931;Zwiebel;0.346782988004362;0.11842105263157894;0.5;0.001995273073521517;
233;233;;-20.9103;0.034482758620689655;Strand;0.5354416575790621;0.15789473684210525;0.375;0.36623521008610493;
234;234;;16.6218;0.06896551724137931;Salzsee;0.012540894220283533;0.02631578947368421;0.5;0.11686118007372281;
235;235;;2.4214;0.10344827586206896;Gebirge;0.7050163576881134;0.14473684210526316;0.5;0.008055075775330982;
236;236;;-21.2713;0.06896551724137931;Steppe;0.2039258451472192;0.21052631578947367;0.375;0.0052647057824681655;
237;237;;21.1123;0.06896551724137931;Savanne;0.020719738276990186;0.06578947368421052;0.5;0.0036995278126740615;
238;238;;22.31;0.10344827586206896;Lagune;0.07906215921483097;0.09210526315789473;0.375;0.007013588415697368;
239;239;;-12.7864;0.06896551724137931;Urwald;0.18865866957470012;0.14473684210526316;0.375;0.002091344018118204;
240;240;;-2.5763;0.0;Esstisch;0.0005452562704471102;0.0;0.625;0.10744696417950113;
241;241;;-5.1944;0.034482758620689655;Sessel;1.0;0.5394736842105263;0.375;0.1158289088383439;
242;242;;-105.7242;0.034482758620689655;Regal;0.19193020719738277;0.5263157894736842;0.25;0.004556220933686636;
243;243;;26.7299;0.06896551724137931;Lehnstuhl;0.17393675027262814;0.05263157894736842;0.75;0.006392019501120883;
244;244;;22.3804;0.06896551724137931;Kommode;0.1826608505997819;0.11842105263157894;0.5;0.0023400114623260714;
