;simufile;cost_function;tau;baysur_slope;regr_intercept;sigmasqr
418;70;2911.7271231411846;50;-1.5835662675456057;0.3533439958751472;0.9731708299268665
419;70;2915.996232173355;100;-1.882015730759654;0.36353907304102556;0.9745976711809342
420;71;463565.3448717687;5;-1.553658783662552;2.317142238089986;160.2368976397403
421;71;478567.36636634223;10;-2.3456236702514266;2.663719706278863;159.94898608500742
422;71;478574.301099082;15;-2.302534654257284;2.663804924271058;159.95130384327607
423;71;478583.6686056185;20;-2.166991467330628;2.662962726519463;159.9544346943912
424;71;478636.35542877077;50;-0.45742291669425733;2.626618663122179;159.9720439267282
425;71;478609.5909195005;100;2.4000991228615542;2.5418898404118186;159.96309856935179
426;72;1053464.3500685696;5;0.2930498036409595;2.2169667071205126;364.1425337257413
427;72;1081028.4661736968;10;4.441105612251483;2.5033832964369607;361.3063055393372
428;72;1080951.1440854433;15;5.242737739786942;2.4838768765480483;361.2804625954022
429;72;1080881.3053827006;20;5.877555726456559;2.4642044302610846;361.2571207829882
430;72;1080843.8796581067;50;7.094045872522989;2.3932771719074566;361.2446121851961
